FECHA,DATO
03/25/2016,17.5895
03/28/2016,17.4503
03/29/2016,17.331499
03/30/2016,17.2293
03/31/2016,17.2703
04/01/2016,17.339001
04/04/2016,17.4793
04/05/2016,17.716499
04/06/2016,17.647499
04/07/2016,17.880501
04/08/2016,17.768999
04/11/2016,17.660299
04/12/2016,17.4748
04/13/2016,17.4753
04/14/2016,17.418501
04/15/2016,17.554001
04/18/2016,17.437
04/19/2016,17.3043
04/20/2016,17.261
04/21/2016,17.4718
04/22/2016,17.455799
04/25/2016,17.579
04/26/2016,17.3638
04/27/2016,17.3018
04/28/2016,17.265301
04/29/2016,17.24
05/02/2016,17.24
05/03/2016,17.6033
05/04/2016,17.7868
05/05/2016,17.8808
05/06/2016,17.868799
05/09/2016,18.192499
05/10/2016,17.987
05/11/2016,17.981001
05/12/2016,17.984501
05/13/2016,18.177299
05/16/2016,18.2803
05/17/2016,18.289
05/18/2016,18.331301
05/19/2016,18.4368
05/20/2016,18.3435
05/23/2016,18.518499
05/24/2016,18.4853
05/25/2016,18.4608
05/26/2016,18.452999
05/27/2016,18.448
05/30/2016,18.480499
05/31/2016,18.450001
06/01/2016,18.500999
06/02/2016,18.6665
06/03/2016,18.598
06/06/2016,18.653299
06/07/2016,18.3643
06/08/2016,18.106001
06/09/2016,18.264999
06/10/2016,18.632299
06/13/2016,18.841499
06/14/2016,18.991301
06/15/2016,18.8978
06/16/2016,18.9543
06/17/2016,18.8405
06/20/2016,18.705
06/21/2016,18.658501
06/22/2016,18.486799
06/23/2016,18.254499
06/24/2016,18.9298
06/27/2016,19.181
06/28/2016,18.8258
06/29/2016,18.494801
06/30/2016,18.268499
07/01/2016,18.370501
07/04/2016,18.421
07/05/2016,18.8235
07/06/2016,18.7705
07/07/2016,18.875099
07/08/2016,18.552
07/11/2016,18.5138
07/12/2016,18.379601
07/13/2016,18.4254
07/14/2016,18.358299
07/15/2016,18.596399
07/18/2016,18.414801
07/19/2016,18.5494
07/20/2016,18.6653
07/21/2016,18.6071
07/22/2016,18.584
07/25/2016,18.8165
07/26/2016,18.816299
07/27/2016,18.868401
07/28/2016,18.927
07/29/2016,18.788799
08/01/2016,18.9042
08/02/2016,18.972799
08/03/2016,18.9226
08/04/2016,18.9305
08/05/2016,18.8006
08/08/2016,18.5963
08/09/2016,18.476801
08/10/2016,18.4468
08/11/2016,18.2875
08/12/2016,18.271799
08/15/2016,18.102501
08/16/2016,18.085501
08/17/2016,18.1852
08/18/2016,18.222
08/19/2016,18.2675
08/22/2016,18.3484
08/23/2016,18.5847
08/24/2016,18.488701
08/25/2016,18.4004
08/26/2016,18.6975
08/29/2016,18.7185
08/30/2016,18.897499
08/31/2016,18.899599
09/01/2016,18.8528
09/02/2016,18.6793
09/05/2016,18.594
09/06/2016,18.313499
09/07/2016,18.450701
09/08/2016,18.7166
09/09/2016,18.923901
09/12/2016,18.8717
09/13/2016,19.0882
09/14/2016,19.302
09/15/2016,19.3734
09/16/2016,19.3734
09/19/2016,19.712299
09/20/2016,19.871
09/21/2016,19.768
09/22/2016,19.680901
09/23/2016,19.853001
09/26/2016,19.938
09/27/2016,19.4482
09/28/2016,19.408501
09/29/2016,19.5173
09/30/2016,19.4356
10/03/2016,19.306
10/04/2016,19.357901
10/05/2016,19.239901
10/06/2016,19.292101
10/07/2016,19.3176
10/10/2016,18.957701
10/11/2016,18.9408
10/12/2016,18.9398
10/13/2016,18.9659
10/14/2016,19.0273
10/17/2016,18.8908
10/18/2016,18.6478
10/19/2016,18.5508
10/20/2016,18.631001
10/21/2016,18.621901
10/24/2016,18.5767
10/25/2016,18.559799
10/26/2016,18.738001
10/27/2016,18.8682
10/28/2016,18.985901
10/31/2016,18.8846
11/01/2016,19.2241
11/02/2016,19.2241
11/03/2016,19.2017
11/04/2016,19.066799
11/07/2016,18.6595
11/08/2016,18.4093
11/09/2016,19.8225
11/10/2016,20.639799
11/11/2016,20.837799
11/14/2016,20.754801
11/15/2016,20.2749
11/16/2016,20.318501
11/17/2016,20.429899
11/18/2016,20.7012
11/21/2016,20.7012
11/22/2016,20.641701
11/23/2016,20.727699
11/24/2016,20.8053
11/25/2016,20.753201
11/28/2016,20.720501
11/29/2016,20.6936
11/30/2016,20.6066
12/01/2016,20.820999
12/02/2016,20.698299
12/05/2016,20.6782
12/06/2016,20.451799
12/07/2016,20.4119
12/08/2016,20.384899
12/09/2016,20.441601
12/12/2016,20.441601
12/13/2016,20.2344
12/14/2016,20.564899
12/15/2016,20.405001
12/16/2016,20.509899
12/19/2016,20.4219
12/20/2016,20.4835
12/21/2016,20.611401
12/22/2016,20.768
12/23/2016,20.646799
12/26/2016,20.672899
12/27/2016,20.784201
12/28/2016,20.776501
12/29/2016,20.7591
12/30/2016,20.7749
01/02/2017,20.772699
01/03/2017,21.1436
01/04/2017,21.362801
01/05/2017,21.474001
01/06/2017,21.2812
01/09/2017,21.4048
01/10/2017,21.8234
01/11/2017,21.9175
01/12/2017,21.816099
01/13/2017,21.5366
01/16/2017,21.7761
01/17/2017,21.5406
01/18/2017,21.959101
01/19/2017,21.9335
01/20/2017,21.6173
01/23/2017,21.4042
01/24/2017,21.512899
01/25/2017,21.048
01/26/2017,21.240999
01/27/2017,20.928801
01/30/2017,20.8034
01/31/2017,20.8603
02/01/2017,20.751301
02/02/2017,20.5511
02/03/2017,20.417801
02/06/2017,20.417801
02/07/2017,20.659201
02/08/2017,20.5019
02/09/2017,20.389099
02/10/2017,20.378
02/13/2017,20.305099
02/14/2017,20.2955
02/15/2017,20.280899
02/16/2017,20.427999
02/17/2017,20.497499
02/20/2017,20.401699
02/21/2017,20.062799
02/22/2017,19.933901
02/23/2017,19.705799
02/24/2017,19.9189
02/27/2017,19.945101
02/28/2017,20.121201
03/01/2017,19.8241
03/02/2017,20.009001
03/03/2017,19.535999
03/06/2017,19.659201
03/07/2017,19.5019
03/08/2017,19.680799
03/09/2017,19.8825
03/10/2017,19.6665
03/13/2017,19.647301
03/14/2017,19.7055
03/15/2017,19.246401
03/16/2017,19.281
03/17/2017,19.281
03/20/2017,19.281
03/21/2017,19.116199
03/22/2017,19.0616
03/23/2017,18.944599
03/24/2017,18.789
03/27/2017,18.9245
03/28/2017,19.058901
03/29/2017,18.7444
03/30/2017,18.742701
03/31/2017,18.7561
04/03/2017,18.701099
04/04/2017,18.857901
04/05/2017,18.820999
04/06/2017,18.8008
04/07/2017,18.7096
04/10/2017,18.7162
04/11/2017,18.7945
04/12/2017,18.599001
04/13/2017,18.599001
04/14/2017,18.599001
04/17/2017,18.534599
04/18/2017,18.6138
04/19/2017,18.8843
04/20/2017,18.829901
04/21/2017,18.8613
04/24/2017,18.68
04/25/2017,18.909401
04/26/2017,19.205299
04/27/2017,19.068001
04/28/2017,18.8535
05/01/2017,18.8535
05/02/2017,18.7995
05/03/2017,18.857901
05/04/2017,19.074301
05/05/2017,19.011999
05/08/2017,19.17
05/09/2017,19.2066
05/10/2017,19.034
05/11/2017,18.880699
05/12/2017,18.802
05/15/2017,18.655001
05/16/2017,18.609699
05/17/2017,18.780001
05/18/2017,18.860901
05/19/2017,18.723801
05/21/2017,18.723801
05/22/2017,18.694401
05/23/2017,18.6703
05/24/2017,18.5012
05/25/2017,18.527399
05/26/2017,18.551201
05/29/2017,18.507401
05/30/2017,18.7223
05/31/2017,18.6609
06/01/2017,18.641701
06/02/2017,18.7272
06/05/2017,18.369699
06/06/2017,18.2822
06/07/2017,18.262699
06/08/2017,18.1793
06/09/2017,18.184299
06/12/2017,18.160101
